country,st_conn_rate [%],end_conn_rate [%],grid_cost_ceiling [EUR/MWh],Label,demand_st [GWh],demand_end [GWh],gfa_st [ha],gfa_end [ha],footprint_dh_area [ha],dhPot_2020 [GWh],dhPot_2050 [GWh],supplied_heat_over_grid_lifetime [TWh],gridCost_dist_absolute [MEUR],gridCost_service_pipe_absolute [MEUR],gridCost_total_absolute [MEUR],spCostEn [EUR/MWh],spCostMet (wo. serv. pipe) [EUR/m],trench_len_dist [km],trench_len_serv [km]
AT,0.55,0.8,36.0,26,3380.18783,1458.6746699999999,3031.227637,3165.246446,8663,1859.1033065000001,1166.939736,41.553,810.2607861399999,527.42962669,1337.69041404,32.19,1055.04,1267.90822,1127.2931899999999
AT,0.55,0.8,36.0,27,14.932459999999999,52.53905,18.843919,103.269261,11,8.212853,42.031240000000004,0.661,1.94098888,0.51255672,2.4535456200000003,3.71,1412.59,1.7369100000000002,1.08602
AT,0.55,0.8,36.0,28,1.97479,6.4045,2.381006,12.456803,10,1.0861345000000002,5.123600000000001,0.082,0.8574209,0.42594614000000003,1.2833670400000001,15.64,1223.03,1.0493299999999999,0.91604
AT,0.55,0.8,36.0,29,17.66509,7.7060200000000005,12.590155000000001,12.592188,41,9.715799500000001,6.164816000000001,0.22,4.6952617000000005,3.06462864,7.75989038,35.32,1093.62,7.0955900000000005,6.446560000000001
AT,0.55,0.8,36.0,30,3.48991,12.42474,4.346998,24.363507000000002,5,1.9194505000000002,9.939792,0.156,0.76657231,0.27622210999999997,1.04279441,6.68,1423.36,0.73263,0.58104
AT,0.55,0.8,36.0,31,4.7202,6.99008,4.9818690000000005,13.85397,41,2.5961100000000004,5.592064000000001,0.108,1.99156832,1.7886734499999999,3.78024175,34.91,1024.23,3.69083,3.90217
AT,0.55,0.8,36.0,32,54.23261,25.38039,49.209461,49.217406,129,29.827935500000002,20.304312000000003,0.698,15.23761644,9.30379766,24.54141414,35.14,1051.51,23.33928,19.59452
AT,0.55,0.8,36.0,33,43.657300000000006,20.322029999999998,38.116321,39.268187,100,24.011515000000003,16.257624,0.559,11.729696019999999,7.24584372,18.97553972,33.97,1061.66,17.87353,15.44075
AT,0.55,0.8,36.0,34,15656.195689999999,6467.2399000000005,13512.512565,13729.413778,24636,8610.9076295,5173.791920000001,189.135,2619.90309423,1480.2550836500002,4100.15818012,21.68,1085.78,3776.21941,3160.4446000000003
AT,0.55,0.8,36.0,35,20.100099999999998,8.22762,13.870312,13.87255,44,11.055055000000001,6.582096000000002,0.242,5.30305396,3.33497943,8.63803342,35.64,1099.53,7.85612,7.01525
AT,0.55,0.8,36.0,36,2415.83452,1018.04888,1924.255322,1939.8468289999998,6143,1328.708986,814.439104,29.501,627.646442,418.92318804,1046.56963038,35.48,1071.84,976.4203100000001,888.43375
AT,0.55,0.8,36.0,37,7.46047,8.87953,7.893361,17.579104,31,4.103258500000001,7.103624000000001,0.152,2.90869256,2.4219771299999997,5.33066968,35.02,1031.93,5.16572,5.256489999999999
AT,0.55,0.8,36.0,38,9.93957,7.2045900000000005,8.025235,12.860719,32,5.4667635,5.763672000000001,0.154,3.11835524,2.24088248,5.35923775,34.74,1087.91,4.926159999999999,4.71378
AT,0.55,0.8,36.0,39,3.78227,7.52516,3.916758,14.696931,31,2.0802485,6.020128000000001,0.108,1.9893590700000001,1.36011719,3.3494762400000004,30.89,1138.5,2.942,2.8729899999999997
AT,0.55,0.8,36.0,40,20.7745,9.04767,17.561335999999997,17.564172,50,11.425975000000001,7.238136000000001,0.258,5.61980756,3.49721979,9.117027349999999,35.31,1062.68,8.57925,7.356529999999999
AT,0.55,0.8,36.0,41,3.75407,8.09417,4.969054,16.370642,34,2.0647385000000003,6.475336,0.111,2.11008256,1.62719522,3.7372778199999996,33.58,1053.25,3.54833,3.65146
AT,0.55,0.8,36.0,42,5.34704,12.303090000000001,6.306325,24.347644,53,2.940872,9.842472000000003,0.171,2.91323419,2.14169072,5.054924929999999,29.57,1088.42,4.64426,4.7218100000000005
AT,0.55,0.8,36.0,43,49.39429,19.81791,44.234848,44.241989000000004,117,27.166859500000005,15.854328000000002,0.59,12.13130707,7.90342023,20.03472733,33.97,1063.58,18.83703,16.78365
AT,0.55,0.8,36.0,44,232.15907,94.49691,158.20099199999999,158.6907,486,127.68748850000003,75.59752800000001,2.791,57.97636421,35.89424635,93.87061059999999,33.64,1105.11,84.94194,75.53926
AT,0.55,0.8,36.0,45,34.06399,15.22796,30.607026,30.611966,82,18.735194500000002,12.182368,0.429,9.542576949999999,5.87915365,15.421730689999999,35.96,1051.32,14.66889,12.403649999999999
AT,0.55,0.8,36.0,46,13.375620000000001,22.44802,13.895079,43.768578000000005,84,7.356591000000002,17.958416,0.341,6.2171398899999994,4.9229213099999996,11.14006124,32.67,1087.55,10.24327,10.65388
AT,0.55,0.8,36.0,47,12.77161,16.705189999999998,14.505559,34.214086,66,7.024385500000001,13.364152,0.276,5.0050371600000005,4.90095513,9.90599235,35.85,999.31,9.91285,10.86869
AT,0.55,0.8,36.0,48,23.7362,9.77394,14.619373999999999,14.621734,50,13.054910000000001,7.819152000000001,0.287,6.104804730000001,3.96562921,10.07043398,35.1,1125.76,8.94542,8.34184
AT,0.55,0.8,36.0,49,3.3951599999999997,6.42977,3.651151,12.514269,25,1.867338,5.143816000000001,0.094,1.8436848000000001,1.43884552,3.2825303399999997,34.81,1086.45,3.02133,3.1339200000000003
AT,0.55,0.8,36.0,50,2.15406,6.77103,2.490769,13.219621,4,1.1847330000000003,5.416824000000001,0.088,0.42889773,0.19539144,0.62428916,7.12,1213.84,0.5143099999999999,0.42774
AT,0.55,0.8,36.0,51,14.02392,25.163040000000002,14.560145,51.076275,78,7.7131560000000015,20.130432000000003,0.372,4.59716054,3.9361800899999997,8.53334065,22.91,1042.86,8.18266,8.63825
AT,0.55,0.8,36.0,52,2.9036,7.3551,3.145851,14.308522,19,1.59698,5.884080000000001,0.1,1.537018,1.01383452,2.55085252,25.61,1203.06,2.1203000000000003,2.14784
AT,0.55,0.8,36.0,53,8.595180000000001,23.496869999999998,10.442896000000001,46.987932,26,4.727349,18.797496,0.311,1.5176218000000001,1.01859166,2.53621344,8.15,1025.64,2.47281,2.27385
AT,0.55,0.8,36.0,54,46.67165,23.63666,39.098352,44.795318,123,25.669407500000002,18.909328000000002,0.616,12.73961636,8.33229545,21.071911699999998,34.23,1072.07,19.655279999999998,17.68619
AT,0.55,0.8,36.0,55,35.59555,15.60733,29.799267999999998,30.633809000000003,85,19.577552500000003,12.485864000000001,0.442,9.78090312,6.04628604,15.82718923,35.81,1074.85,14.725,12.723700000000001
AT,0.55,0.8,36.0,56,94.72,41.0257,65.08279399999999,65.82559599999999,234,52.09600000000001,32.82056,1.172,24.93784132,16.74740322,41.685244299999994,35.55,1106.46,37.67456,35.26985
